Designator;Comment;Layer;Footprint;Center-X(mm);Center-Y(mm);Rotation;Description
P2;Header 2;TopLayer;HDR1X2;57,34;193,7;180;
P1;Header 2;TopLayer;HDR1X2;77,66;193,7;180;
CZ4;Campzone 2020 4x4 silicone keypad;TopLayer;CZ20_4x4;117,5;37,5;0;
CZ3;Campzone 2020 4x4 silicone keypad;TopLayer;CZ20_4x4;117,5;137,5;0;
CZ2;Campzone 2020 4x4 silicone keypad;TopLayer;CZ20_4x4;17,5;37,5;0;
CZ1;Campzone 2020 4x4 silicone keypad;TopLayer;CZ20_4x4;17,5;137,5;0;
SW1;LP SMD tact sw 3x2.5mm;TopLayer;OMR_B3U-1000P;75,7;189,8;90;
U1;WCH CH32X035G8U6 QFN28 RISC-V 32-bit MCU, 62KB Flash, 10KB RAM, USB PD;TopLayer;QFN_28_4.0x4.0_P0.4;85,5;191;90;
R3;;TopLayer;R0603_N;60,2001;189,3999;270;
R2;;TopLayer;R0603_N;58,6999;189,4001;90;
R1;;TopLayer;R0603_N;78,0001;189,2999;270;
J1;USB 2.0 C Reversible Receptacle Horizontal full SMD;TopLayer;XUNPU-TYPEC-304S-ACP16;67,5;191,4;180;
D128;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;155;0;0;#NAME?
D127;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;155;25;0;#NAME?
D126;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;155;50;0;#NAME?
D125;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;155;75;0;#NAME?
D124;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;155;100;0;#NAME?
D123;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;155;125;0;#NAME?
D122;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;155;150;0;#NAME?
D121;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;155;175;0;#NAME?
D120;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;130;0;0;#NAME?
D119;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;130;25;0;#NAME?
D118;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;130;50;0;#NAME?
D117;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;130;75;0;#NAME?
D116;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;130;100;0;#NAME?
D115;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;130;125;0;#NAME?
D114;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;130;150;0;#NAME?
D113;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;130;175;0;#NAME?
D112;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;105;0;0;#NAME?
D111;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;105;25;0;#NAME?
D110;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;105;50;0;#NAME?
D109;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;105;75;0;#NAME?
D108;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;105;100;0;#NAME?
D107;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;105;125;0;#NAME?
D106;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;105;150;0;#NAME?
D105;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;105;175;0;#NAME?
D104;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;80;0;0;#NAME?
D103;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;80;25;0;#NAME?
D102;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;80;50;0;#NAME?
D101;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;80;75;0;#NAME?
D100;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;80;100;0;#NAME?
D99;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;80;125;0;#NAME?
D98;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;80;150;0;#NAME?
D97;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;80;175;0;#NAME?
D96;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;55;0;0;#NAME?
