Altium Designer Pick and Place Locations
C:\Users\wim.vangool\SynologyDrive\Drive\Electronics\BloopPadMaxx_00\OUTPUT\Pick Place\Pick Place for BloopPadMaxx_00.txt

========================================================================================================================
File Design Information:

Date:       24/02/26
Time:       15:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                                                  Layer    Footprint              Center-X(mil) Center-Y(mil) Rotation Description         
P2         "Header 2"                                                               TopLayer HDR1X2                 2257.480      7625.984      180      ""                  
P1         "Header 2"                                                               TopLayer HDR1X2                 3057.480      7625.984      180      ""                  
CZ4        "Campzone 2020 4x4 silicone keypad"                                      TopLayer CZ20_4x4               4625.984      1476.378      0        ""                  
CZ3        "Campzone 2020 4x4 silicone keypad"                                      TopLayer CZ20_4x4               4625.984      5413.386      0        ""                  
CZ2        "Campzone 2020 4x4 silicone keypad"                                      TopLayer CZ20_4x4               688.976       1476.378      0        ""                  
CZ1        "Campzone 2020 4x4 silicone keypad"                                      TopLayer CZ20_4x4               688.976       5413.386      0        ""                  
SW1        "LP SMD tact sw 3x2.5mm"                                                 TopLayer OMR_B3U-1000P          2980.315      7472.441      90       ""                  
U1         "WCH CH32X035G8U6 QFN28 RISC-V 32-bit MCU, 62KB Flash, 10KB RAM, USB PD" TopLayer QFN_28_4.0x4.0_P0.4    3366.142      7519.685      90       ""                  
R3         ""                                                                       TopLayer R0603_N                2370.082      7456.690      270      ""                  
R2         ""                                                                       TopLayer R0603_N                2311.020      7456.696      90       ""                  
R1         ""                                                                       TopLayer R0603_N                3070.869      7452.753      270      ""                  
J1         "USB 2.0 C Reversible Receptacle Horizontal full SMD"                    TopLayer XUNPU-TYPEC-304S-ACP16 2657.480      7535.433      180      ""                  
D128       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       6102.362      0.000         0        =Description        
D127       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       6102.362      984.252       0        =Description        
D126       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       6102.362      1968.504      0        =Description        
D125       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       6102.362      2952.756      0        =Description        
D124       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       6102.362      3937.008      0        =Description        
D123       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       6102.362      4921.260      0        =Description        
D122       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       6102.362      5905.512      0        =Description        
D121       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       6102.362      6889.764      0        =Description        
D120       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       5118.110      0.000         0        =Description        
D119       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       5118.110      984.252       0        =Description        
D118       "WS2812 based digital RGB LED 2022 package"                              TopLayer LED_2022_WS2812B       5118.110      1968.504      0        =Description        
